bbbc039_id,bbbc039_split,bbbc039_path,bbbc038_id,bbbc038_path,reasons,file_sha256_equal,decoded_gray_sha256_equal,maximum_d4_ncc,bbbc039_d4_orientation,minimum_phash_hamming,manual_identity_review
IXMtest_G16_s6_w1C3F175E2-0AF5-401C-AC5C-8E128A237B22,training,images/images/IXMtest_G16_s6_w1C3F175E2-0AF5-401C-AC5C-8E128A237B22.tif,3f9fc8e63f87e8a56d3eaef7db26f1b6db874d19f12abd5a752821b78d47661e,3f9fc8e63f87e8a56d3eaef7db26f1b6db874d19f12abd5a752821b78d47661e/images/3f9fc8e63f87e8a56d3eaef7db26f1b6db874d19f12abd5a752821b78d47661e.png,ncc;phash,False,False,1.0000005960464478,0,0,pending
IXMtest_P10_s7_w1F78192AF-7D11-4D41-80F3-8CD6DB05AB57,training,images/images/IXMtest_P10_s7_w1F78192AF-7D11-4D41-80F3-8CD6DB05AB57.tif,700afb1cd830a808e3c6125749612e5d23fd9f9726049a9e0c2061997514e1a7,700afb1cd830a808e3c6125749612e5d23fd9f9726049a9e0c2061997514e1a7/images/700afb1cd830a808e3c6125749612e5d23fd9f9726049a9e0c2061997514e1a7.png,ncc;phash,False,False,0.9999996423721313,0,0,pending
IXMtest_O18_s7_w19C30A212-58D3-4030-AA4F-B0C4482F1F8A,training,images/images/IXMtest_O18_s7_w19C30A212-58D3-4030-AA4F-B0C4482F1F8A.tif,876423522bdec1602917b94163a21e05fc7b692045219b7bc96cdaf638c33c25,876423522bdec1602917b94163a21e05fc7b692045219b7bc96cdaf638c33c25/images/876423522bdec1602917b94163a21e05fc7b692045219b7bc96cdaf638c33c25.png,ncc;phash,False,False,0.9999983906745911,0,0,pending
IXMtest_J15_s9_w1857B395F-AE7A-4319-BC26-3A041C0E31E9,training,images/images/IXMtest_J15_s9_w1857B395F-AE7A-4319-BC26-3A041C0E31E9.tif,a65bbfc5673e8053b6ce49f39c79cf3a846fe5cc46dd93105f74fb07cf44606d,a65bbfc5673e8053b6ce49f39c79cf3a846fe5cc46dd93105f74fb07cf44606d/images/a65bbfc5673e8053b6ce49f39c79cf3a846fe5cc46dd93105f74fb07cf44606d.png,ncc;phash,False,False,0.999998152256012,0,0,pending
IXMtest_M04_s3_w1A599DF67-1E7F-4A09-84FD-0080767A735C,training,images/images/IXMtest_M04_s3_w1A599DF67-1E7F-4A09-84FD-0080767A735C.tif,a891bbc89143bca7a717386144eb061ec2d599cba24681389bcb3a2fedb8ff8c,a891bbc89143bca7a717386144eb061ec2d599cba24681389bcb3a2fedb8ff8c/images/a891bbc89143bca7a717386144eb061ec2d599cba24681389bcb3a2fedb8ff8c.png,ncc;phash,False,False,0.999998152256012,0,0,pending
IXMtest_J20_s1_w1EEE65E52-7AD8-47C7-A286-6E84C5D77953,validation,images/images/IXMtest_J20_s1_w1EEE65E52-7AD8-47C7-A286-6E84C5D77953.tif,1c8b905c9519061d6d091e702b45274f4485c80dcf7fb1491e6b2723f5002180,1c8b905c9519061d6d091e702b45274f4485c80dcf7fb1491e6b2723f5002180/images/1c8b905c9519061d6d091e702b45274f4485c80dcf7fb1491e6b2723f5002180.png,ncc;phash,False,False,0.9999980330467224,0,0,pending
IXMtest_K05_s7_w1816D5E2A-B9D8-48DA-9FE6-CBC35FE38C8D,training,images/images/IXMtest_K05_s7_w1816D5E2A-B9D8-48DA-9FE6-CBC35FE38C8D.tif,5f9d29d6388c700f35a3c29fa1b1ce0c1cba6667d05fdb70bd1e89004dcf71ed,5f9d29d6388c700f35a3c29fa1b1ce0c1cba6667d05fdb70bd1e89004dcf71ed/images/5f9d29d6388c700f35a3c29fa1b1ce0c1cba6667d05fdb70bd1e89004dcf71ed.png,ncc;phash,False,False,0.9999980330467224,0,0,pending
IXMtest_G16_s3_w1B4690283-D75E-4DFB-92B0-29419E8292C6,training,images/images/IXMtest_G16_s3_w1B4690283-D75E-4DFB-92B0-29419E8292C6.tif,b1f23c4d27afed8af7b6b64793a3760bfea31b65f582d48aaa62d2b988ef2eac,b1f23c4d27afed8af7b6b64793a3760bfea31b65f582d48aaa62d2b988ef2eac/images/b1f23c4d27afed8af7b6b64793a3760bfea31b65f582d48aaa62d2b988ef2eac.png,ncc;phash,False,False,0.9999977946281433,0,0,pending
IXMtest_K12_s7_w12A7857A5-3C92-4A08-8E81-2CA8A99F67AE,validation,images/images/IXMtest_K12_s7_w12A7857A5-3C92-4A08-8E81-2CA8A99F67AE.tif,6fe2df6de1d962b90146c822bcefc84d0d3d6926fdfbacd3acdc9de830ee5622,6fe2df6de1d962b90146c822bcefc84d0d3d6926fdfbacd3acdc9de830ee5622/images/6fe2df6de1d962b90146c822bcefc84d0d3d6926fdfbacd3acdc9de830ee5622.png,ncc;phash,False,False,0.9999977946281433,0,0,pending
IXMtest_A18_s1_w1BFDF1C94-9C1F-4F5F-BBC1-05196333B1BF,training,images/images/IXMtest_A18_s1_w1BFDF1C94-9C1F-4F5F-BBC1-05196333B1BF.tif,62057502c387145ed4f8f7f0d5e5bedcb72d3bcec15fa71cb0310dee32871461,62057502c387145ed4f8f7f0d5e5bedcb72d3bcec15fa71cb0310dee32871461/images/62057502c387145ed4f8f7f0d5e5bedcb72d3bcec15fa71cb0310dee32871461.png,ncc;phash,False,False,0.9999977350234985,0,0,pending
